movieid,title,cluster
1,Toy Story,119
2,Jumanji,27
3,Grumpier Old Men,4
4,Waiting to Exhale,11
5,Father of the Bride Part II,2
6,Heat,20
7,Sabrina,4
8,Tom and Huck,75
9,Sudden Death,37
10,GoldenEye,38
11,"American President, The",11
12,Dracula: Dead and Loving It,58
13,Balto,164
14,Nixon,1
15,Cutthroat Island,178
16,Casino,14
17,Sense and Sensibility,9
18,Four Rooms,2
19,Ace Ventura: When Nature Calls,2
20,Money Train,137
21,Get Shorty,81
22,Copycat,285
23,Assassins,20
24,Powder,30
25,Leaving Las Vegas,9
26,Othello,1
27,Now and Then,56
28,Persuasion,9
29,"City of Lost Children, The (Cité des enfants perdus, La)",264
30,Shanghai Triad (Yao a yao yao dao waipo qiao),14
31,Dangerous Minds,1
32,Twelve Monkeys (a.k.a. 12 Monkeys),21
34,Babe,56
36,Dead Man Walking,14
38,It Takes Two,49
39,Clueless,4
40,"Cry, the Beloved Country",1
41,Richard III,148
42,Dead Presidents,32
43,Restoration,1
44,Mortal Kombat,73
45,To Die For,126
46,How to Make an American Quilt,9
47,Seven (a.k.a. Se7en),201
48,Pocahontas,187
49,When Night Is Falling,9
50,"Usual Suspects, The",217
52,Mighty Aphrodite,11
53,Lamerica,84
54,"Big Green, The",49
55,Georgia,1
57,Home for the Holidays,1
58,"Postman, The (Postino, Il)",11
60,"Indian in the Cupboard, The",27
61,Eye for an Eye,19
62,Mr. Holland's Opus,1
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,25
64,Two if by Sea,4
65,Bio-Dome,2
66,Lawnmower Man 2: Beyond Cyberspace,29
68,French Twist (Gazon maudit),4
69,Friday,2
70,From Dusk Till Dawn,170
71,Fair Game,37
72,Kicking and Screaming,10
73,"Misérables, Les",148
74,Bed of Roses,9
75,Big Bully,10
76,Screamers,29
77,Nico Icon,22
78,"Crossing Guard, The",36
79,"Juror, The",19
80,"White Balloon, The (Badkonake sefid)",56
81,Things to Do in Denver When You're Dead,105
82,Antonia's Line (Antonia),10
83,Once Upon a Time... When We Were Colored,9
85,Angels and Insects,9
86,White Squall,42
87,Dunston Checks In,49
88,Black Sheep,2
89,Nick of Time,46
92,Mary Reilly,277
93,Vampire in Brooklyn,140
94,Beautiful Girls,11
95,Broken Arrow,38
96,In the Bleak Midwinter,10
97,"Hate (Haine, La)",14
99,Heidi Fleiss: Hollywood Madam,22
100,City Hall,19
101,Bottle Rocket,271
102,Mr. Wrong,2
103,Unforgettable,21
104,Happy Gilmore,2
105,"Bridges of Madison County, The",9
106,Nobody Loves Me (Keiner liebt mich),10
107,Muppet Treasure Island,121
108,Catwalk,22
110,Braveheart,222
111,Taxi Driver,23
112,Rumble in the Bronx (Hont faan kui),130
113,Before and After,177
116,Anne Frank Remembered,22
117,"Young Poisoner's Handbook, The",14
118,If Lucy Fell,4
119,"Steal Big, Steal Little",2
121,"Boys of St. Vincent, The",1
122,Boomerang,4
123,Chungking Express (Chung Hing sam lam),9
125,Flirting With Disaster,2
126,"NeverEnding Story III, The",27
128,Jupiter's Wife,22
129,Pie in the Sky,4
132,Jade,43
135,Down Periscope,2
137,Man of the Year,22
140,Up Close and Personal,9
141,"Birdcage, The",2
144,"Brothers McMullen, The",2
145,Bad Boys,137
146,"Amazing Panda Adventure, The",75
147,"Basketball Diaries, The",1
148,"Awfully Big Adventure, An",1
149,Amateur,23
150,Apollo 13,84
151,Rob Roy,109
152,"Addiction, The",59
153,Batman Forever,130
154,Beauty of the Day (Belle de jour),1
155,Beyond Rangoon,84
156,Blue in the Face,10
157,Canadian Bacon,2
158,Casper,75
159,Clockers,14
160,Congo,5
161,Crimson Tide,19
162,Crumb,22
163,Desperado,223
164,Devil in a Blue Dress,217
165,Die Hard: With a Vengeance,20
166,"Doom Generation, The",51
168,First Knight,109
169,Free Willy 2: The Adventure Home,211
170,Hackers,90
171,Jeffrey,10
172,Johnny Mnemonic,29
173,Judge Dredd,146
174,Jury Duty,2
175,Kids,1
176,Living in Oblivion,2
177,Lord of Illusions,12
178,Love & Human Remains,10
179,Mad Love,9
180,Mallrats,4
181,Mighty Morphin Power Rangers: The Movie,169
183,Mute Witness,69
184,Nadja,1
185,"Net, The",20
186,Nine Months,4
187,Party Girl,2
188,"Prophecy, The",133
189,Reckless,102
190,Safe,43
191,"Scarlet Letter, The",9
193,Showgirls,1
194,Smoke,10
195,Something to Talk About,11
196,Species,24
198,Strange Days,238
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les)",9
201,Three Wishes,112
202,Total Eclipse,9
203,"To Wong Foo, Thanks for Everything! Julie Newmar",2
204,Under Siege 2: Dark Territory,37
205,Unstrung Heroes,10
206,Unzipped,22
207,"Walk in the Clouds, A",9
208,Waterworld,5
209,White Man's Burden,1
210,Wild Bill,77
211,"Browning Version, The",1
212,Bushwhacked,149
213,Burnt by the Sun (Utomlyonnye solntsem),1
214,Before the Rain (Pred dozhdot),148
215,Before Sunrise,9
216,Billy Madison,2
217,"Babysitter, The",19
218,Boys on the Side,10
219,"Cure, The",1
220,Castle Freak,12
222,Circle of Friends,9
223,Clerks,2
224,Don Juan DeMarco,11
225,Disclosure,19
227,Drop Zone,46
228,Destiny Turns on the Radio,2
229,Death and the Maiden,19
230,Dolores Claiborne,19
231,Dumb & Dumber (Dumb and Dumber),85
232,Eat Drink Man Woman (Yin shi nan nu),11
233,Exotica,1
234,Exit to Eden,2
235,Ed Wood,10
236,French Kiss,83
237,Forget Paris,4
238,Far From Home: The Adventures of Yellow Dog,75
239,"Goofy Movie, A",216
240,Hideaway,43
241,Fluke,56
242,Farinelli: il castrato,299
243,Gordy,240
246,Hoop Dreams,22
247,Heavenly Creatures,14
248,Houseguest,2
249,Immortal Beloved,9
250,Heavyweights (Heavy Weights),49
251,"Hunted, The",37
252,I.Q.,4
253,Interview with the Vampire: The Vampire Chronicles,59
254,Jefferson in Paris,1
255,"Jerky Boys, The",2
256,Junior,53
257,Just Cause,201
258,"Kid in King Arthur's Court, A",78
259,Kiss of Death,23
260,Star Wars: Episode IV - A New Hope,5
261,Little Women,1
262,"Little Princess, A",56
263,Ladybird Ladybird,1
265,Like Water for Chocolate (Como agua para chocolate),89
266,Legends of the Fall,9
267,Major Payne,2
269,My Crazy Life (Mi vida loca),1
270,Love Affair,9
271,Losing Isaiah,1
272,"Madness of King George, The",10
273,Mary Shelley's Frankenstein (Frankenstein),132
274,Man of the House,2
275,Mixed Nuts,2
276,Milk Money,4
277,Miracle on 34th Street,1
278,Miami Rhapsody,2
279,My Family,1
280,Murder in the First,19
281,Nobody's Fool,11
282,Nell,1
283,New Jersey Drive,14
284,New York Cop (Nyû Yôku no koppu),57
285,Beyond Bedlam,59
287,Nina Takes a Lover,4
288,Natural Born Killers,20
289,Only You,4
